ID,Name,Type,rConc,Name,Type,Value,Calibrated rConc,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S95-A23,Supply_Water,Unknown,1,sulIII-marko,Test,5.889588809,2.29E-06,1,Pass,0.002436086,73.76496337,999,1
S95-A24,Supply_Water,Unknown,1,sulIII-marko,Test,5.510140863,3.93E-07,1,Pass,0.002436086,73.86981623,999,1
S95-A25,Supply_Water,Unknown,1,aphA3,Test,24.01071483,-1,1,Pass,0.002436086,80.66186131,999,1
S95-A26,Supply_Water,Unknown,1,aphA3,Test,24.80706564,-1,1,Pass,0.002436086,80.91181062,999,1
S95-A27,Supply_Water,Unknown,1,aphA3,Test,22.79786465,-1,1,Pass,0.002436086,81.00061234,999,1
S95-A28,Supply_Water,Unknown,1,tetL,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A29,Supply_Water,Unknown,1,tetL,Test,23.00260756,-1,1,Pass,0.002436086,81.12909962,999,1
S95-A30,Supply_Water,Unknown,1,tetL,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A31,Supply_Water,Unknown,1,erm(B),Test,22.10018619,-1,1,Pass,0.002436086,81.84134437,999,1
S95-A32,Supply_Water,Unknown,1,erm(B),Test,21.78443879,-1,1,Pass,0.002436086,81.8352109,999,1
S95-A33,Supply_Water,Unknown,1,erm(B),Test,23.87054516,-1,1,Pass,0.002436086,81.85790035,999,1
S95-A34,Supply_Water,Unknown,1,intI1F165_clinical,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A35,Supply_Water,Unknown,1,intI1F165_clinical,Test,28.7901095,-1,0,Flag,0.002436086,999,999,0
S95-A36,Supply_Water,Unknown,1,intI1F165_clinical,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A37,Supply_Water,Unknown,1,erm(35),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A38,Supply_Water,Unknown,1,erm(35),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A39,Supply_Water,Unknown,1,erm(35),Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A40,Supply_Water,Unknown,1,tetX,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A41,Supply_Water,Unknown,1,tetX,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A42,Supply_Water,Unknown,1,tetX,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A43,Supply_Water,Unknown,1,ermT,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A44,Supply_Water,Unknown,1,ermT,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A45,Supply_Water,Unknown,1,ermT,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A46,Supply_Water,Unknown,1,intl2,Test,999,-1,0,Flag,0.002436086,999,999,0
S95-A47,Supply_Water,Unknown,1,intl2,Test,999,-1,0,Flag,0.002436086,999,999,0
